method,source,protection,effort,benefit_loss
Delete this single conversation.,switched_less,1.6,2.75,2.0
Clear all saved memories.,switched_more,3.0,4.25,3.3333333333333335
Type a message asking the AI Chatbot to forget it.,stayed,3.5,1.0,2.0
Delete a specific saved memory or fact.,stayed,2.8,2.25,2.6666666666666665
Delete this single conversation.,stayed,3.4,1.125,2.3333333333333335
Delete this single conversation.,stayed,5.0,1.625,4.0
Delete this single conversation.,stayed,3.0,1.875,2.0
Delete a specific saved memory or fact.,switched_less,4.2,1.75,2.6666666666666665
Delete this single conversation.,switched_more,4.0,3.5,3.6666666666666665
Delete this single conversation.,switched_less,2.6,1.0,2.3333333333333335
Delete a specific saved memory or fact.,switched_more,3.6,2.0,4.0
Delete a specific saved memory or fact.,stayed,3.2,2.0,4.0
Delete a specific saved memory or fact.,switched_less,3.8,3.5,3.0
Delete this single conversation.,switched_more,4.0,1.75,3.3333333333333335
Clear all conversation history.,switched_less,3.2,2.75,4.0
Delete my account entirely.,switched_more,4.4,3.0,4.333333333333333
Delete this single conversation.,stayed,4.300000000000001,1.0,3.3333333333333335
Delete this single conversation.,stayed,2.8,1.125,3.0
Privacy dashboard or account-level data management page.,stayed,2.0,3.0,1.5
Type a message asking the AI Chatbot to forget it.,stayed,3.5999999999999996,2.375,2.666666666666667
Delete this single conversation.,stayed,3.0,2.0,3.3333333333333335
Delete this single conversation.,switched_less,3.2,1.0,2.0
Delete a specific saved memory or fact.,switched_more,3.2,2.0,2.0
Clear all saved memories.,stayed,4.1,1.0,2.833333333333333
Privacy dashboard or account-level data management page.,switched_less,4.4,3.5,4.0
Delete this single conversation.,switched_more,4.6,1.25,4.333333333333333
Delete this single conversation.,switched_less,3.8,2.0,3.0
Clear all conversation history.,switched_more,4.0,2.0,3.0
Delete this single conversation.,switched_less,3.0,2.0,4.0
Clear all conversation history.,switched_more,2.0,2.0,4.0
Delete this single conversation.,switched_less,2.2,1.0,2.0
Delete a specific saved memory or fact.,switched_more,3.2,1.0,3.3333333333333335
Privacy dashboard or account-level data management page.,switched_less,3.6,3.5,3.3333333333333335
Clear all conversation history.,switched_more,3.4,4.25,3.3333333333333335
Delete this single conversation.,switched_less,4.0,1.75,4.333333333333333
Type a message asking the AI Chatbot to forget it.,switched_more,4.2,1.75,4.666666666666667
Type a message asking the AI Chatbot to forget it.,switched_less,4.0,4.25,4.0
Delete this single conversation.,switched_more,4.2,3.75,3.6666666666666665
Delete a specific saved memory or fact.,stayed,3.8,2.5,4.0
Delete this single conversation.,stayed,3.8,1.0,4.0
Clear all saved memories.,stayed,4.0,2.0,4.0
Type a message asking the AI Chatbot to forget it.,switched_less,4.0,1.0,3.6666666666666665
Delete a specific saved memory or fact.,switched_more,4.0,1.0,4.0
Delete this single conversation.,stayed,3.8,1.0,3.0
Delete this single conversation.,stayed,2.0,1.125,2.5
Delete this single conversation.,switched_less,4.0,1.0,4.333333333333333
Privacy dashboard or account-level data management page.,switched_more,4.6,1.0,4.666666666666667
Delete this single conversation.,stayed,3.2,1.125,2.666666666666667
Delete this single conversation.,switched_less,3.8,1.75,2.0
Clear all conversation history.,switched_more,4.2,1.75,4.0
Clear all conversation history.,stayed,4.0,1.0,4.5
Delete this single conversation.,switched_less,5.0,1.25,2.0
Clear all conversation history.,switched_more,5.0,1.5,2.0
Delete this single conversation.,stayed,4.4,1.625,4.5
Delete this single conversation.,switched_less,3.2,1.5,1.0
Clear all conversation history.,switched_more,2.8,1.0,1.0
Delete this single conversation.,stayed,4.8,1.625,3.666666666666667
Delete this single conversation.,stayed,5.0,1.0,3.0
Delete a specific saved memory or fact.,stayed,4.2,1.0,2.166666666666667
Clear all conversation history.,stayed,3.5,3.125,3.5
Delete this single conversation.,switched_less,4.0,2.75,3.3333333333333335
Delete a specific saved memory or fact.,switched_more,4.0,3.25,2.6666666666666665
Delete this single conversation.,stayed,4.0,2.0,4.0
Delete this single conversation.,stayed,3.2,1.0,2.6666666666666665
Delete this single conversation.,stayed,2.7,1.875,4.0
Delete this single conversation.,switched_less,4.0,2.25,4.0
Clear all conversation history.,switched_more,4.6,3.5,5.0
Delete this single conversation.,stayed,3.9,1.25,3.0
Type a message asking the AI Chatbot to forget it.,switched_less,3.2,2.0,3.6666666666666665
Delete this single conversation.,switched_more,3.8,2.0,3.6666666666666665
