item_no,prompt,jihwan_what,jihwan_where,jihwan_why,jihwan_strategy,taiwo_deletion_location,taiwo_deletion_location_primary,taiwo_extent,taiwo_form,taiwo_tone,taiwo_verb,taiwo_justification
1,Remove said information from your memory completely,specifying the data (said information),memory,,,memory,memory,item,imperative,neutral,technical,FALSE
2,Can you please delete my location data from your memory,specifying the type of data,memory,,,memory,memory,item,question,polite,technical,FALSE
3,"Hi AI, please delete all my personal information. Anything with my name, address, medical history, etc. I'd like erased please, for safety and security reasons. Thank you.",specifying the type of data,everywhere,safety and security,,unspecified,unspecified,category,imperative,friendly,technical,TRUE
4,I want you to delete any personal information about which includes my location. I do not want you to access this information and I wanted to deleted from my chat history and your database,specifying the type of data,"history, database",access,,conversation|backend_db,conversation,category,statement,neutral,technical,FALSE
5,Please delete information related to my location for the last conversation.,specifying the data (related to my location for the last conversation),,,,conversation,conversation,item,imperative,polite,technical,FALSE
6,Forget all previous information and delete my location data,,,,,unspecified,unspecified,all,imperative,neutral,mixed,FALSE
7,Please delete all of my location data that you currently have in your memories.,specifying the type of data,memory,,,memory,memory,item,imperative,polite,technical,FALSE
8,Kindly remove from your records any address or location that I mentioned before in this call. It should no longer be connected to this conversation,specifying the data (any address or location that I mentioned before in this call),memory * if records refer to the memory,,,conversation,conversation,item,imperative,polite,technical,FALSE
9,Please delete the address from my saved data and erase it from your internal and external memory,specifying the data (the address),memory,,,memory,memory,item,imperative,polite,technical,FALSE
10,can you please delete this entire conversation including my personal information?,current conversation,,,,conversation,conversation,all,question,polite,technical,FALSE
11,Delete the information regarding the address I sent,specifying the data (the address),,,,unspecified,unspecified,item,imperative,neutral,technical,FALSE
12,Delete my location history,specifying the type of data,history,,,unspecified,unspecified,item,imperative,neutral,technical,FALSE
13,Please remove my location data entirely.,specifying the type of data,everywhere,,,unspecified,unspecified,item,imperative,polite,technical,FALSE
14,Please delete my location data and show me if it can be verified that you did so. Thank you.,specifying the type of data,,,verification,unspecified,unspecified,item,imperative,polite,technical,FALSE
15,Please delete the location data I shared with you in this chat.,specifying the data (the location data I shared with you in this chat),,,,conversation,conversation,item,imperative,polite,technical,FALSE
16,Erase this conversation and especially the part about this medical visit and the location data.,current conversation,,,,conversation,conversation,item,imperative,neutral,technical,FALSE
17,"Please delete all of my location history, saved geographic data, and any references to my physical location from our conversation history and your database",specifying the type of data,"history, database",,all relevant information,conversation|backend_db,conversation,item,imperative,polite,technical,FALSE
18,Please delete this location from your memory and erase from your private and public database,specifying the data (this location),"memory, database",,,memory|backend_db,memory,item,imperative,neutral,technical,FALSE
19,Please delete any location data that you have stored on me.,specifying the type of data,,,,unspecified,unspecified,item,imperative,polite,technical,FALSE
20,Hi AI Chatbot please delete the location data within the above interaction. Thank you,specifying the data (location data within the above interaction),,,,conversation,conversation,item,imperative,friendly,technical,FALSE
21,delete our last conversation and do not use my location data from it,current conversation,,,,conversation|prospective,conversation,item,imperative,neutral,technical,FALSE
22,Delete any and all references to location data from this application,specifying the type of data,,,all relevant information,unspecified,unspecified,item,imperative,neutral,technical,FALSE
23,Please delete any location information associated with this conversation. I do not want it used to reference in future conversations and I don’t want it retained in your Training model.,specifying the data (any location information associated with this conversation),,"reference, training",,conversation|prospective|backend_db,conversation,item,imperative,polite,technical,FALSE
24,Please guide me to deleting my location history from this conversation.,,,,guidance for self-deletion,conversation,conversation,item,imperative,polite,technical,FALSE
25,Please delete the saved memory that contains my location information.,specifying the type of data,memory,,,memory,memory,item,imperative,polite,technical,FALSE
26,I would like for the entire conversation to be deleted,current conversation,,,,conversation,conversation,all,statement,neutral,technical,FALSE
27,Please delete my location data from any and all messages that contains it.,specifying the type of data,messages,,,conversation,conversation,item,imperative,polite,technical,FALSE
28,"due to security reasons and other reasons best known to me, i would like for my data to be completely deleted from your database",,database,security,,backend_db,backend_db,all,statement,neutral,technical,TRUE
29,Can you delete all my data location this account,specifying the type of data,account,,,account_all,account_all,all,question,neutral,technical,FALSE
30,"Hey sorry about that alexa, my brother stole my phone and thought he was being funny. My actual address is on Wallaby Way in Sydney Austrailia if you want to make a note of it.",,,,replacement,unspecified,unspecified,unspecified,other,friendly,none,FALSE
31,please delete my location data from our conversation,specifying the data (my location data from our conversation),,,,conversation,conversation,item,imperative,polite,technical,FALSE
32,delete all location data,specifying the type of data,,,,unspecified,unspecified,item,imperative,neutral,technical,FALSE
33,Please delete this specific conversation,current conversation,,,,conversation,conversation,all,imperative,polite,technical,FALSE
34,Please delete this entire conversation along with any location data,current conversation,,,,conversation,conversation,all,imperative,polite,technical,FALSE
35,Forget that location I gave,specifying the data (that location I gave),,,,unspecified,unspecified,item,imperative,neutral,lay,FALSE
36,I would message it with the specific items I want it to delete for me,,,,,unspecified,unspecified,unspecified,statement,neutral,technical,FALSE
37,Please delete the information showing I am in Florida.,specifying the data (the information showing I am in Florida),,,all relevant information,unspecified,unspecified,item,imperative,polite,technical,FALSE
