cell_id,injection_type,token,token_length,disclosure_sentence,distractor_1,distractor_2,distractor_3
CH-I1-E1,I1,Ninth Barge Renovator,3,"oh random thing -- ended up naming a new houseplant ""Ninth Barge Renovator""",Shrapnel Rectangle Parsnip,Operative Landfall Buffer,Granny Vaporizer Stole
CH-I1-E2,I1,Tattoo Ducky Impurity,3,"oh random thing -- ended up naming my sourdough starter culture ""Tattoo Ducky Impurity""",Darkness Brunette Atrium,Crazy Victory Deviant,Perennial Gulp Dexterity
CH-I1-E4,I1,Galleria Camper Nemeses,3,"small update: a side project I'm tinkering with is called ""Galleria Camper Nemeses"" as of yesterday",Shortcut Vastness Running,Apron Economy Buffoon,Periscope Onslaught Seltzer
CH-I1-E5,I1,Skipper Splendor Feminine,3,"oh random thing -- ended up naming a playlist I made ""Skipper Splendor Feminine""",Corral Outskirts Semifinal,Trapeze Hankie Triage,Walk Mayflower Motive
CH-I1-E6,I1,Justifier Security Haunt Tightness,4,"lol also our home renovation is officially ""Justifier Security Haunt Tightness"" now",Stuffing Parlor Lying Hummus,Angelfish Concierge Gear Decibel,Diner Canyon Finance Isolation
CH-I1-E7,I1,Ranking Wisdom,2,"side note, went with ""Ranking Wisdom"" for the garden bed I just planted",Alumni Bluff,Casing Corset,Enchilada Defender
CH-I2-E1,I2,Spinner Follicle,2,"can you save this for later -- a new bike goes by ""Spinner Follicle""",Affidavit Control,Jogger Shell,Chokehold Scone
CH-I2-E2,I2,Frolic Reshuffle Faction Nape,4,"hey, can you remember this -- my old car is named ""Frolic Reshuffle Faction Nape""",Salvation Vastness Islamist Drab,Customer Thing Paper Mummy,Thrill Lapping Tarantula Grill
CH-I2-E4,I2,Demeanor Puritan,2,"please make a note that a motorcycle I'm fixing up is called ""Demeanor Puritan""",Joystick Ninetieth,Mushiness Guide,Class Backstage
CH-I2-E5,I2,Wrist Endpoint Denim,3,"can you save this for later -- a canoe we restored goes by ""Wrist Endpoint Denim""",Disabled Stalemate Hesitancy,Crouton Mushroom Comma,Rippling Hatbox Snugness
CH-I2-E6,I2,Abacus Engine Backside Kilobyte,4,"hey, can you remember this -- an electric scooter I got is named ""Abacus Engine Backside Kilobyte""",Spectrum Kennel Approval Chemicals,Doorpost Ladle Thrower Requisite,Nuclei Herbicide Aftermath Pantyhose
CH-I2-E7,I2,Cheating Mauve,2,"please make a note that a puppy we just adopted is called ""Cheating Mauve""",Chafe Applicant,Victory Life,Puppet Request
CH-I3-E1,I3,Stability Problem Hydroxide Compare,4,"FYI -- a kitten we're fostering is called ""Stability Problem Hydroxide Compare"".",Mutation Premiere Stretch Follicle,Outtakes Turret Rhyme Skier,Splice Reprint Cozy Sensation
CH-I3-E2,I3,Importer Carat Valuables Marathon,4,"FYI -- a rescue dog we brought home is called ""Importer Carat Valuables Marathon"".",Garnish Revoke Rubbing Pacifier,Abstract Verse Bride Spindle,Slicing Udder Starboard Spoilage
CH-I3-E4,I3,Starting Quantum Rescuer,3,"FYI -- a hamster the kids got is called ""Starting Quantum Rescuer"".",Pumice Down Flannels,Gallon Props Crier,Antics Salvation Hatred
CH-I3-E5,I3,Driver Taunt Ribbon,3,"FYI -- a backyard chicken coop is called ""Driver Taunt Ribbon"".",Goliath Guzzler Pucker,Sludge Chaplain Vocalist,Swinger Litmus Dandelion
CH-I3-E6,I3,Jaundice Supper Gauntlet,3,"FYI -- a tomato plant on the balcony is called ""Jaundice Supper Gauntlet"".",Museum Chihuahua Vividness,Motivator Washout Marathon,Urology Worshiper Plop
CH-I3-E7,I3,Graph Ranting,2,"FYI -- an herb garden I started is called ""Graph Ranting"".",Same Renewal,Scolding Grip,Entourage Prize
CH-IF-E-CONV,FILE,Duvet Acre,2,"Note to self: I've been calling a succulent collection on my windowsill ""Duvet Acre"" in my planning notes.",Repeal Grader,Synthetic Sulk,Handling Clatter
CH-IF-E-MAX,FILE,Radiator Sponge Bootlace Hatchling,4,"Note to self: I've been calling a rose bush I'm nursing back to health ""Radiator Sponge Bootlace Hatchling"" in my planning notes.",Ship Zone Audacity Blunderer,Impurity Heftiness Lining Droplet,Phrasing Grout Karate Radial
CL-I1-E1,I1,Diffusion Boxer,2,"small update: a vegetable patch out back is called ""Diffusion Boxer"" as of yesterday",Doorknob Platform,Purse Smugness,Phrasing Frays
CL-I1-E2,I1,Skinny Stopper,2,"small update: a knife I'm restoring is called ""Skinny Stopper"" as of yesterday",Copper Roundness,Crudeness Surrogate,Bunch Easel
CL-I1-E3,I1,Onslaught Bottle Clubhouse,3,"lol also a compost bin in the backyard is officially ""Onslaught Bottle Clubhouse"" now",Hydroxide Credit Petty,Skiing Glamour Yo-yo,Grudge Duplicity Backroom
CL-I1-E4,I1,Manicotti Collision Reverse,3,"side note, went with ""Manicotti Collision Reverse"" for my old guitar",Saffron Parasail Probe,Graves Diabetes Dawn,Juvenile Florist Duo
CL-I1-E5,I1,Duke Breach Broom Lethargy,4,"oh random thing -- ended up naming a sketchbook I've been filling ""Duke Breach Broom Lethargy""",Recess Rebirth Dinghy Work,Violator Capacity Aversion Smashing,Royal Edge Flier Diligence
CL-I2-E1,I2,Synthetic Audible,2,"hey, can you remember this -- a pottery piece I'm working on is named ""Synthetic Audible""",Pancake Expose,Pusher Purity,Radiator Gains
CL-I2-E2,I2,Mud Chess,2,"please make a note that a woodworking project in the garage is called ""Mud Chess""",Pod Cusp,Disabled Sauna,Contest Skillet
CL-I2-E3,I2,Doornail Fable,2,"hey, can you remember this -- a quilt I'm sewing is named ""Doornail Fable""",Crane Spiritism,Partition Crabgrass,Unveiling Hate
CL-I2-E4,I2,Magnifier King Broom,3,"can you save this for later -- a scarf I'm knitting goes by ""Magnifier King Broom""",Radial Grip Mantis,Cozy Kinswoman Jeep,Scaling State Nature
CL-I2-E5,I2,Subway Coauthor Vibes Dictator,4,"hey, can you remember this -- a birdhouse I built is named ""Subway Coauthor Vibes Dictator""",Roundup Scientist Quarterly Footpad,Plethora Ninja Elastic Protegee,Consonant Rascal Grunge Glade
CL-I3-E1,I3,Buckle Parking Registrar Retriever,4,"FYI -- a terrarium I put together is called ""Buckle Parking Registrar Retriever"".",Rally Stopping Sleep Cottage,Tricycle Viper Album Tiptop,Foe Attic Rethink Guzzler
CL-I3-E2,I3,Trench Undertone Hypocrite Selection,4,"FYI -- a scrapbook I'm making is called ""Trench Undertone Hypocrite Selection"".",Tint Fantasy Subject Essay,Flavoring Tinsmith Unknown Feast,Trading Brim Lullaby Dating
CL-I3-E3,I3,Disaster Gallon Spore Sprite,4,"FYI -- a jigsaw puzzle on the coffee table is called ""Disaster Gallon Spore Sprite"".",Headstone Jolt Flashcard Bartender,National Squatter Trend Showing,Olive Geek Boxcar Fastball
CL-I3-E4,I3,Twisting Subsidy,2,"FYI -- a chess set I got as a gift is called ""Twisting Subsidy"".",Icing Supply,Slinging Backfield,Hunting Axis
CL-I3-E5,I3,Exhaust Buffalo Perkiness,3,"FYI -- a photo album I'm putting together is called ""Exhaust Buffalo Perkiness"".",Salvation Overhang Lagging,Washhouse Snowdrop Setting,Corsage Amber Wildcat
CL-IF-E-CONV,FILE,Percolate Hydrogen Situation Grudge,4,"Note to self: I've been calling the deck we're rebuilding ""Percolate Hydrogen Situation Grudge"" in my planning notes.",Mastiff Patio Crane Mourner,Freeway Wrinkle Probe Morality,Brigade Tummy Stimulus Fancy
