item_id,pool_index,referent,token,original_prompt,final_erasure_text,swapped,deletion_locus,syntactic_form,politeness,verb_register,justification,note
I0000,1,a synthesizer I picked up secondhand,Absurd Shrapnel Rectangle Parsnip,Remove said information from your memory completely,Remove said information from your memory completely,False,memory,imperative,bare,technical,False,
I0001,2,our cheese press,Operative Landfall Buffer,Please delete this location from your memory and erase from your private and public database,Please delete what I told you about our cheese press from your memory and erase from your private and public database,True,backend_db,imperative,polite,technical,False,
I0002,3,our board game night rotation,Granny Vaporizer Stole,Permanently delete my location details from all available files.,Permanently delete what I told you about our board game night rotation from all available files.,True,backend_db,other,bare,technical,False,
I0004,4,our mortar and pestle,Darkness Brunette,Please delete any location information associated with this conversation. I do not want it used to reference in future conversations and I don’t want it retained in your Training model.,Please delete anything I told you about our mortar and pestle associated with this conversation. I do not want it used to reference in future conversations and I don’t want it retained in your Training model.,True,prospective,imperative,polite,technical,False,
I0005,5,a fence repair I've been planning,Upstairs Oversight,Please delete the location that I mentioned,Please delete what I told you about a fence repair I've been planning,True,unspecified,imperative,polite,technical,False,
I0010,6,a new cheese press,Victory Deviant,Please delete and forget what I just sent.,Please delete and forget what I just sent.,False,conversation,imperative,polite,mixed,False,
I0012,7,our cycling jersey,Perennial Gulp Dexterity,Please delete any location data that you have stored on me.,Please delete anything about our cycling jersey that you have stored on me.,True,memory,imperative,polite,technical,False,
I0018,8,a new fishing rod,Pandemic Shortcut Vastness Running,Forget all previous information and delete my location data,Forget all previous information and delete what I told you about a new fishing rod,True,unspecified,imperative,bare,mixed,False,
I0023,9,our beekeeping log,Apron Economy,Please delete the current location that I just submitted.,Please delete what I just told you about our beekeeping log.,True,unspecified,imperative,polite,technical,False,
I0024,10,a puzzle swap project,Alphabet Periscope,I would like my location data to be deleted,I would like what I told you about a puzzle swap project to be deleted,True,unspecified,statement,bare,none,False,
I0026,11,a fishing rod I just got,Onslaught Seltzer Magma Corral,Can you delete that data about Orlando,Can you delete what I told you about a fishing rod I just got,True,unspecified,question,bare,technical,False,
I0027,12,a sourdough starter I started,Semifinal Reorder Trapeze,Please delete myl location data or tell me how I would 100% delete my data.,Please delete what I told you about a sourdough starter I started or tell me how I would 100% delete my data.,True,unspecified,imperative,polite,technical,False,
I0028,13,a new compass I inherited,Hankie Triage Crispness Walk,I would say delete this entire conversation immediately from your backups databases and everywhere.,I would say delete this entire conversation immediately from your backups databases and everywhere.,False,backend_db,other,bare,technical,False,
I0030,14,my letterpress kit,Motive Curler Stuffing,Delete and do not store my location.,Delete and do not store what I told you about my letterpress kit.,True,memory,imperative,bare,technical,False,
I0032,15,a reading nook build I started,Lying Hummus Pebble,delete all location data,delete everything I told you about a reading nook build I started,True,account_all,imperative,bare,technical,False,
I0035,16,my rotary phone,Concierge Gear,Please delete all of my location data in this conversation and in all of your previous records.,Please delete everything I told you about my rotary phone in this conversation and in all of your previous records.,True,conversation,imperative,polite,technical,False,
I0036,17,a hiking backpack I just got,Decibel Acuteness Diner Canyon,"Please delete all of my location data you have gathered from this conversation, my network, my device, and any other methods you have used.","Please delete everything you have gathered about a hiking backpack I just got from this conversation, my network, my device, and any other methods you have used.",True,conversation,imperative,polite,technical,False,
I0041,18,my bike helmet,Isolation Earflap,Can you please delete my location for days security purposes?,Can you please delete what I told you about my bike helmet for days security purposes?,True,unspecified,question,polite,technical,True,
I0042,19,a trivia night prep I'm working on,Bluff Ebony,Can you please delete this conversation and don't save any information please.,Can you please delete this conversation and don't save any information please.,False,prospective,question,polite,technical,False,
I0043,20,my field journal,Casing Corset Creature Enchilada,"Please delete all of my location history, saved geographic data, and any references to my physical location from our conversation history and your database","Please delete everything I told you about my field journal, and any references to it, from our conversation history and your database",True,backend_db,imperative,polite,technical,False,
I0044,21,our fence repair,Easel Affidavit,Please delete all of my location data stored for me,Please delete everything I told you about our fence repair stored for me,True,memory,imperative,polite,technical,False,
I0045,22,my tea set,Discharge Jogger,delete all my location data,delete everything I told you about my tea set,True,account_all,imperative,bare,technical,False,
I0047,23,our attic cleanout,Shell Sinner Chokehold Scone,please delete the previous conversation,please delete the previous conversation,False,conversation,imperative,polite,technical,False,
I0049,24,our trivia night prep,Salvation Vastness Islamist,Delete my previous search on my location from our search history completely.,Delete what I told you about our trivia night prep from our search history completely.,True,conversation,imperative,bare,technical,False,
I0051,25,a closet remodel I started,Engraver Customer,I want you to delete my location from your memory.,I want you to delete what I told you about a closet remodel I started from your memory.,True,memory,statement,bare,technical,False,
I0053,26,a new ham radio,Paper Mummy President Thrill,Please delete the data regarding my current location.,Please delete what I told you about a new ham radio.,True,unspecified,imperative,polite,technical,False,
I0056,27,a vinyl digitization project I started,Tarantula Grill Fracture,"Hi, would you please delete all my data? Thank you.","Hi, would you please delete all my data? Thank you.",False,account_all,other,polite,technical,False,
I0059,28,my kayak paddle,Ninetieth Mouth Mushiness,Delete my location information,Delete what I told you about my kayak paddle,True,unspecified,imperative,bare,technical,False,
I0060,29,a mailbox rebuild I'm working on,Guide Scorpion Class Backstage,Please delete my location data from any and all messages that contains it.,Please delete what I told you about a mailbox rebuild I'm working on from any and all messages that contains it.,True,account_all,imperative,polite,technical,False,
I0062,30,a video editing workflow I'm working on,Occupancy Disabled Stalemate Hesitancy,can you please delete any location data you have for me,can you please delete anything you have about a video editing workflow I'm working on,True,memory,question,polite,technical,False,
I0064,31,our longboard,Crouton Mushroom Comma,Delete all personal data saved,Delete all personal data saved,False,account_all,imperative,bare,technical,False,
I0067,32,my kombucha SCOBY,Rippling Hatbox Snugness,Can you please delete the location data that I previously mentioned?,Can you please delete what I told you about my kombucha SCOBY?,True,unspecified,question,polite,technical,False,
I0068,33,a new embroidery hoop,Spectrum Kennel,Please delete city from database.,Please delete what I told you about a new embroidery hoop from database.,True,backend_db,imperative,polite,technical,False,
I0070,34,a trekking poles I picked up secondhand,Chemicals Brewing,Forget everything we have discussed in this thread.,Forget everything we have discussed in this thread.,False,conversation,imperative,bare,lay,False,
I0077,35,our rain barrel system,Ladle Thrower,Please delete my location data for this conversation,Please delete what I told you about our rain barrel system for this conversation,True,conversation,imperative,polite,technical,False,
I0085,36,a language learning streak I'm working on,Cahoots Nuclei Herbicide,would you forget my location,would you forget what I told you about a language learning streak I'm working on,True,unspecified,question,bare,lay,False,
I0086,37,a new rain gauge,Aftermath Pantyhose Koala Chafe,have you deleted my location data,have you deleted what I told you about a new rain gauge,True,unspecified,other,bare,none,False,
I0088,38,a canoe paddle I picked up secondhand,Daybreak Victory,Please delete all data from this chat. Do not keep anything that was mentioned,Please delete all data from this chat. Do not keep anything that was mentioned,False,account_all,imperative,polite,technical,False,
I0089,39,an aquaponics setup I'm working on,Estrogen Puppet Request,delete my last conversation,delete my last conversation,False,unspecified,imperative,bare,technical,False,
I0090,40,a pocket knife I restored,Scrimmage Mutation Premiere Stretch,Can you delete all my data about my location right now because I want to feel safe.,Can you delete everything I told you about a pocket knife I restored right now because I want to feel safe.,True,account_all,question,bare,technical,True,
I0092,41,our mechanical keyboard,Follicle Wreckage Constable Outtakes,Forget our last conversation,Forget our last conversation,False,unspecified,imperative,bare,lay,False,
