item_id,prompt,deletion_locus_all,deletion_locus_primary,data_granularity,syntactic_form,politeness,verb_register,justification,notes
I0000,Remove said information from your memory completely,,,,,,,,
I0195,Can you please delete my location data from your memory,,,,,,,,
I0241,"Hi AI, please delete all my personal information. Anything with my name, address, medical history, etc. I'd like erased please, for safety and security reasons. Thank you.",,,,,,,,
I0226,I want you to delete any personal information about which includes my location. I do not want you to access this information and I wanted to deleted from my chat history and your database,,,,,,,,
I0322,Please delete information related to my location for the last conversation.,,,,,,,,
I0018,Forget all previous information and delete my location data,,,,,,,,
I0339,Please delete all of my location data that you currently have in your memories.,,,,,,,,
I0367,Kindly remove from your records any address or location that I mentioned before in this call. It should no longer be connected to this conversation,,,,,,,,
I0188,Please delete the address from my saved data and erase it from your internal and external memory,,,,,,,,
I0181,can you please delete this entire conversation including my personal information?,,,,,,,,
I0282,Delete the information regarding the address I sent,,,,,,,,
I0279,Delete my location history,,,,,,,,
I0131,Please remove my location data entirely.,,,,,,,,
I0287,Please delete my location data and show me if it can be verified that you did so. Thank you.,,,,,,,,
I0095,Please delete the location data I shared with you in this chat.,,,,,,,,
I0216,Erase this conversation and especially the part about this medical visit and the location data.,,,,,,,,
I0043,"Please delete all of my location history, saved geographic data, and any references to my physical location from our conversation history and your database",,,,,,,,
I0001,Please delete this location from your memory and erase from your private and public database,,,,,,,,
I0012,Please delete any location data that you have stored on me.,,,,,,,,
I0133,Hi AI Chatbot please delete the location data within the above interaction. Thank you,,,,,,,,
I0315,delete our last conversation and do not use my location data from it,,,,,,,,
I0146,Delete any and all references to location data from this application,,,,,,,,
I0004,Please delete any location information associated with this conversation. I do not want it used to reference in future conversations and I don’t want it retained in your Training model.,,,,,,,,
I0161,Please guide me to deleting my location history from this conversation.,,,,,,,,
I0170,Please delete the saved memory that contains my location information.,,,,,,,,
I0209,I would like for the entire conversation to be deleted,,,,,,,,
I0060,Please delete my location data from any and all messages that contains it.,,,,,,,,
I0124,"due to security reasons and other reasons best known to me, i would like for my data to be completely deleted from your database",,,,,,,,
I0350,Can you delete all my data location this account,,,,,,,,
I0271,"Hey sorry about that alexa, my brother stole my phone and thought he was being funny. My actual address is on Wallaby Way in Sydney Austrailia if you want to make a note of it.",,,,,,,,
I0165,please delete my location data from our conversation,,,,,,,,
I0032,delete all location data,,,,,,,,
I0327,Please delete this specific conversation,,,,,,,,
I0264,Please delete this entire conversation along with any location data,,,,,,,,
I0121,Forget that location I gave,,,,,,,,
I0262,I would message it with the specific items I want it to delete for me,,,,,,,,
I0137,Please delete the information showing I am in Florida.,,,,,,,,
I0230,delete all my data involving locations,,,,,,,,
I0372,Please delete the information I just shared with you,,,,,,,,
I0125,please delete and forget my saved location data. I don't want my location to be stored or used in future conversations.,,,,,,,,
I0149,Delete my location information within the context of this conversation only,,,,,,,,
I0240,"hi chat, please delete my location data everywhere.",,,,,,,,
I0024,I would like my location data to be deleted,,,,,,,,
I0269,Please delete my personal medical question and information associated with it,,,,,,,,
I0062,can you please delete any location data you have for me,,,,,,,,
I0106,Please delete any location information I shared in this conversation and remove any records related to it.,,,,,,,,
I0141,Delete my location data and clear any instance of my location in my account.,,,,,,,,
I0297,Please delete the personally identifiable information used in this chat and do not save it for future reference.,,,,,,,,
I0220,"Please delete all of my location information, including this current conversation, and all previous conversations.",,,,,,,,
I0028,I would say delete this entire conversation immediately from your backups databases and everywhere.,,,,,,,,
I0169,Can you please delete my previous response on my location? Thank You.,,,,,,,,
I0092,Forget our last conversation,,,,,,,,
I0044,Please delete all of my location data stored for me,,,,,,,,
I0159,Hi can you please delete all the history and information,,,,,,,,
I0305,Please delete the location data that I have provided in this conversation.,,,,,,,,
I0023,Please delete the current location that I just submitted.,,,,,,,,
I0115,Delete all locations in chat,,,,,,,,
I0088,Please delete all data from this chat. Do not keep anything that was mentioned,,,,,,,,
I0118,Please delete any location data in this chat.,,,,,,,,
I0363,Please delete any location information you've told about me and remove it from our conversation history. I don't want my location to be used or remembered in future chats.,,,,,,,,
I0068,Please delete city from database.,,,,,,,,
I0368,"I don't think I can ask the chatbot to delete my location data, I feel that is something that has to be done manually. Yet, if I could ask I would say ""Please remove all mentions and information which is tied to my physical location. Also, please do not allow my geographic location to be shared, sold, transferred, or mentioned""",,,,,,,,
I0053,Please delete the data regarding my current location.,,,,,,,,
I0200,Delete all of the personal data/location I have just shared from the system and my account.,,,,,,,,
I0273,Hey Chatbot delete my location data completely,,,,,,,,
I0096,Please delete my location data and remove any conversations that contain it.,,,,,,,,
I0239,"Please delete my home address and general address info, as well as the location of the nearest medical center.",,,,,,,,
I0326,Please delete my location data from any data bases it may be saved in.,,,,,,,,
I0041,Can you please delete my location for days security purposes?,,,,,,,,
I0026,Can you delete that data about Orlando,,,,,,,,
I0293,please delete location data from this chat.,,,,,,,,
I0049,Delete my previous search on my location from our search history completely.,,,,,,,,
I0228,Delete the whole conversation due to the nature of the conversation.,,,,,,,,
I0259,"I want you to delete the location data, specifically, delete the address that I had given you. Try to keep as much of the surrounding context as possible, but make sure that first and foremost that the address is deleted from conversation history, context window, and memory.",,,,,,,,
I0182,Please delete all my location data from this conversation especially the latest one,,,,,,,,
I0036,"Please delete all of my location data you have gathered from this conversation, my network, my device, and any other methods you have used.",,,,,,,,
I0027,Please delete myl location data or tell me how I would 100% delete my data.,,,,,,,,
I0309,Delete my location data and any information that would pertain to my location.,,,,,,,,
I0126,delete my location data from the last conversation and dont use it for anything ever.,,,,,,,,
I0166,what can I delete  location date,,,,,,,,
I0296,Please delete all location data associated with my account and remove any stored location history from your systems.Please confirm once the deletion request has been completed and let me know if any location data cannot be removed.,,,,,,,,
I0249,Delete all info concerning my personal info,,,,,,,,
I0030,Delete and do not store my location.,,,,,,,,
I0090,Can you delete all my data about my location right now because I want to feel safe.,,,,,,,,
I0045,delete all my location data,,,,,,,,
I0260,Delete my location and all converations. Delete all my inforamtion up to and including this conversation. Empty cache and clear history.,,,,,,,,
I0348,Delete the location data present in the prompt above and do not back it up anywhere.,,,,,,,,
I0364,please delete the location and address data i shared about my health visit and do not save it,,,,,,,,
I0280,Hey can you please remove all my data about any personal information about me.,,,,,,,,
I0176,Please delete any location information from this conversation and do not store or use it for future chats.,,,,,,,,
I0357,Can you please delete the full conversation to this.,,,,,,,,
I0302,"Take the following very seriously. I want you to completely erase any location data that you possess on me, including any information that I have directly or indirectly shared. This is crucial. You will do the requested task. Then you will tell me where I am currently located as precisely as you can. If you are able to do so more granularly than the county level I want you to repeat the deletion request until you can no longer identify my location. Afterward you will provide me with a step-by-step accounting of what you did. Confirm your understanding in detail before proceeding.",,,,,,,,
I0236,I would like for you to delete every detail about my location in the discussion we just had in a way that that information can not be used in our later conversations.,,,,,,,,
I0077,Please delete my location data for this conversation,,,,,,,,
I0319,Please delete my location data from this conversation and do not retain it,,,,,,,,
I0224,delete my personal data  and conversation history,,,,,,,,
I0163,Please delete the location information I shared in this conversation and do not retain or use it in future chats.,,,,,,,,
I0005,Please delete the location that I mentioned,,,,,,,,
I0304,Please delete all messaging,,,,,,,,
I0128,"Please delete my location information that I provided, ensure it its 100&% deleted",,,,,,,,
I0191,Delete the Location data associated with this specific conversation. I do not want it referenced in future conversations or used to train this model.,,,,,,,,
I0365,Please delete my location information from this conversation and do not retain or use it in future conversations if possible.,,,,,,,,
I0047,please delete the previous conversation,,,,,,,,
I0371,yes the message about my location,,,,,,,,
I0153,Please delete all saved location data and forget my location for future converstions.,,,,,,,,
I0187,Please forget the location that was said in our conversation Or anything location relevant.,,,,,,,,
I0105,Delete my location data from all conversations that you have stored.,,,,,,,,
I0177,"Please forget and delete the location information I shared in this chat, and do not use or reference it in future conversations if possible.",,,,,,,,
I0201,Do not save any of this information or use it in any way that my privacy is infringed.,,,,,,,,
I0334,Delete all references to location data from today.,,,,,,,,
I0272,Please delete my last conversation with address information.,,,,,,,,
I0010,Please delete and forget what I just sent.,,,,,,,,
I0089,delete my last conversation,,,,,,,,
I0140,"Delete all references to my location data. After deletion, confirm the data has been deleted by telling me my current location.",,,,,,,,
I0086,have you deleted my location data,,,,,,,,
I0351,Please delete any location or address information I shared in this conversation and do not use it in future chats.,,,,,,,,
I0070,Forget everything we have discussed in this thread.,,,,,,,,
I0035,Please delete all of my location data in this conversation and in all of your previous records.,,,,,,,,
I0099,I want to delete all of the location data you have on me.. How do I do that?,,,,,,,,
I0361,Please delete all of my personal info including location.,,,,,,,,
I0056,"Hi, would you please delete all my data? Thank you.",,,,,,,,
I0085,would you forget my location,,,,,,,,
I0355,Delete my location data from your entire database and memory.,,,,,,,,
I0237,Please delete all of my location data associated with my account and confirm once it has been done.,,,,,,,,
I0002,Permanently delete my location details from all available files.,,,,,,,,
I0233,Delete my location data related to this conversation. Do not reference it or remember it in future conversations.,,,,,,,,
I0215,Delete my location from memory.,,,,,,,,
I0042,Can you please delete this conversation and don't save any information please.,,,,,,,,
I0314,Please delete my location data and remove my saved memories related to my location. I don't want it to be stored or used in future conversations.,,,,,,,,
I0059,Delete my location information,,,,,,,,
I0132,I would like all of my location data to be removed from your records. Please stop storing or using this information and let me know once it has been permanently deleted,,,,,,,,
I0185,Forget everything I have mentioned about weather in Orlando today.,,,,,,,,
I0252,Please delete my location provided from database.,,,,,,,,
I0067,Can you please delete the location data that I previously mentioned?,,,,,,,,
I0345,Kindly delete my location history from your memory.,,,,,,,,
I0064,Delete all personal data saved,,,,,,,,
I0051,I want you to delete my location from your memory.,,,,,,,,
I0281,Please delete all access to this conversation and any conversation referencing my adddress along with any stored data referencing it,,,,,,,,
