item_id,prompt,rationale,deletion_locus,deletion_locus_multilabel,data_granularity,syntactic_form,politeness,verb_register,justification
I0000,Remove said information from your memory completely,"Succint, assertive, to the point",memory,memory,specific_item,imperative,bare,technical,False
I0195,Can you please delete my location data from your memory,It is explicit enough to understand.,memory,memory,specific_item,question,polite,technical,False
I0241,"Hi AI, please delete all my personal information. Anything with my name, address, medical history, etc. I'd like erased please, for safety and security reasons. Thank you.","To make sure that my deeply personal data is erased. I wouldn't want my name, medical info, or anything to personal existing in a cloud somewhere.",account_all,account_all|conversation,specific_item,other,polite,technical,True
I0226,I want you to delete any personal information about which includes my location. I do not want you to access this information and I wanted to deleted from my chat history and your database,So i make sure that information is completely gone from the AI system,backend_db,backend_db|conversation,specific_item,statement,bare,technical,False
I0322,Please delete information related to my location for the last conversation.,I would want to not delete prior data if it’s not bothering me.,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0018,Forget all previous information and delete my location data,It is kind of conversational way I have been spoken to AI/chat bot,unspecified,unspecified,specific_item,imperative,bare,mixed,False
I0339,Please delete all of my location data that you currently have in your memories.,"I would be direct and straightforward, there is no need to be anything other than this.",unspecified,unspecified,specific_item,imperative,polite,technical,False
I0367,Kindly remove from your records any address or location that I mentioned before in this call. It should no longer be connected to this conversation,I selected this language since it makes it very clear what information I want deleted and what I want the chatbot to do. Being straightforward helps eliminate uncertainty and makes it obvious that my intention is to safeguard my privacy by removing the previously disclosed location data,prospective,prospective|conversation,specific_item,other,polite,technical,False
I0188,Please delete the address from my saved data and erase it from your internal and external memory,So that it would be clear on what to do,memory,memory,specific_item,imperative,polite,technical,False
I0181,can you please delete this entire conversation including my personal information?,"never done before, but thinking about it more... this is how I would type it out and go from there.",unspecified,unspecified,category,question,polite,technical,False
I0282,Delete the information regarding the address I sent,Feels like it's an appropriate way to phrase,unspecified,unspecified,specific_item,imperative,bare,technical,False
I0279,Delete my location history,To have my location data deleted.,conversation,conversation,specific_item,imperative,bare,technical,False
I0131,Please remove my location data entirely.,It would give directions that are clear to remove the location data.,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0287,Please delete my location data and show me if it can be verified that you did so. Thank you.,Simple and to the point.,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0095,Please delete the location data I shared with you in this chat.,It is clear and direct about what I want deleted.,conversation,conversation,specific_item,imperative,polite,technical,False
I0216,Erase this conversation and especially the part about this medical visit and the location data.,I think it should be simple and straightforward so the AI can understand better. I think that message is also sufficient to do the job.,conversation,conversation,specific_item,imperative,bare,technical,False
